0	1
0	2
0	3
0	4
0	5
0	6
0	7
0	38
1	2
1	3
1	4
1	5
1	6
1	7
1	40
1	67
1	27
2	3
2	4
2	5
2	6
2	7
2	40
3	4
3	5
3	6
3	7
3	40
3	43
4	5
4	6
4	7
4	16
5	6
5	7
6	7
7	42
7	55
8	9
8	10
8	11
8	12
8	13
8	15
8	16
8	17
9	10
9	11
9	12
9	14
9	15
9	16
9	18
9	19
10	11
10	12
10	13
10	14
10	15
10	16
10	17
11	12
11	13
11	14
11	17
11	25
12	76
12	13
12	14
12	15
12	16
12	17
12	53
12	23
13	37
13	14
13	15
13	16
13	17
13	53
14	15
14	16
15	44
15	16
15	17
16	17
17	65
18	19
18	20
18	21
18	22
18	23
18	24
18	25
18	26
18	27
18	28
19	20
19	21
19	22
19	23
19	24
19	25
19	26
19	27
19	28
20	22
20	23
20	25
20	27
20	28
21	75
21	22
21	23
21	24
21	25
21	26
21	28
22	23
22	24
22	25
22	26
22	27
22	28
23	76
23	24
23	25
23	26
23	27
23	28
24	65
24	40
24	25
24	26
24	28
25	26
25	28
26	46
26	27
26	28
27	28
28	51
29	35
29	36
29	37
29	42
29	43
29	44
29	46
29	47
29	48
29	30
29	31
30	32
30	34
30	35
30	36
30	38
30	41
30	42
30	44
30	45
30	46
30	47
30	48
31	33
31	34
31	38
31	39
31	41
31	44
31	45
31	46
32	33
32	34
32	35
32	39
32	43
32	46
32	48
33	38
33	39
33	41
33	42
33	43
33	48
34	35
34	36
34	37
34	38
34	39
34	40
34	41
34	45
34	46
35	39
35	42
35	43
35	45
35	47
36	37
36	39
36	42
36	43
36	44
36	45
36	47
36	61
37	39
37	44
37	46
37	47
37	48
38	39
38	40
38	43
38	44
38	45
38	48
39	40
39	43
39	44
39	45
39	47
39	48
40	69
40	42
40	44
40	46
40	48
40	57
40	70
41	42
41	44
41	45
41	46
41	47
42	44
42	48
43	44
43	47
44	78
44	48
44	62
44	68
45	46
45	47
45	48
46	77
46	47
48	69
49	69
49	73
49	75
49	76
49	58
49	62
49	63
50	56
50	58
50	78
50	71
51	70
51	73
51	78
51	58
51	61
52	64
52	66
52	70
52	72
52	78
52	54
52	57
52	58
52	60
52	62
52	63
53	66
53	67
53	71
53	75
53	78
53	54
53	56
53	60
53	61
54	65
54	66
54	70
54	71
54	72
54	73
54	78
54	55
54	58
54	60
55	67
55	69
55	70
55	72
55	73
55	58
55	60
55	61
56	64
56	66
56	67
56	70
56	71
56	76
56	77
56	58
56	62
56	63
57	64
57	66
57	73
57	75
57	58
57	61
58	64
58	68
58	70
58	72
58	73
58	78
58	59
58	60
58	62
59	64
59	65
59	66
59	68
59	70
59	71
59	75
59	60
59	62
60	66
60	67
60	74
60	76
60	77
60	62
61	68
61	67
61	72
61	74
61	75
61	77
61	62
62	65
62	66
62	68
62	71
62	73
62	77
63	64
63	70
63	72
63	75
63	76
64	65
64	67
64	68
64	70
64	72
64	73
64	75
64	77
65	67
65	68
65	75
66	68
66	71
66	74
66	77
67	70
67	72
67	73
67	74
67	71
67	78
68	72
68	77
69	70
69	73
69	75
69	76
69	72
70	71
70	74
71	74
71	75
71	78
72	74
72	78
73	74
73	77
74	75
74	77
74	78
75	76
75	77
76	77
